Techstack,Links
"React (Frontend), Node.js (Backend), MongoDB (Database)",https://example.com/react-portfolio
"Angular (Frontend), .NET Core (Backend), SQL Server (Database)",https://example.com/angular-portfolio
"Vue.js (Frontend), Ruby on Rails (Backend), PostgreSQL (Database)",https://example.com/vue-portfolio
"Python (Language), Django (Web Framework), MySQL (Database)",https://example.com/python-portfolio
"Java (Language), Spring Boot (Backend Framework), Oracle (Database)",https://example.com/java-portfolio
"Flutter (Cross-platform), Firebase (BaaS), GraphQL (API)",https://example.com/flutter-portfolio
"WordPress (CMS), PHP (Scripting), MySQL (Database)",https://example.com/wordpress-portfolio
"Magento (E-commerce), PHP (Backend), MySQL (Database)",https://example.com/magento-portfolio
"iOS (Platform), Swift (Language), ARKit (Augmented Reality)",https://example.com/ios-ar-portfolio
"Android TV (Platform), Kotlin (Language), Android NDK (Native Dev)",https://example.com/android-tv-portfolio
"Cross-platform (Mobile), Xamarin (Framework), Azure (Cloud)",https://example.com/xamarin-portfolio
"Frontend Development, TypeScript, Angular (SPA Framework)",https://example.com/typescript-frontend-portfolio
"Machine Learning, Python, TensorFlow (Framework)",https://example.com/ml-python-portfolio
"DevOps, Jenkins (CI/CD), Docker (Containers)",https://example.com/devops-portfolio
"Blockchain Development, Solidity (Smart Contracts), Ethereum (L1 Network)",https://example.com/blockchain-ethereum-portfolio
"Smart Contract Dev, Hardhat (Test/Deploy), Solidity, IPFS (Decentralized Storage)",https://example.com/smart-contracts-portfolio
"Generative AI, OpenAI GPT-4 API, LangChain (LLM Orchestration)",https://example.com/genai-openai-langchain
"RAG Architecture, LangChain, ChromaDB, OpenAI Embeddings",https://example.com/rag-langchain-chroma
"Document QA System, Haystack (Pipeline), Elasticsearch, Dense Embeddings",https://example.com/rag-haystack-elasticsearch
"Multi-modal AI, OpenAI CLIP, BLIP2 (Vision-Language Models)",https://example.com/multimodal-clip-blip2
"OpenAI Assistants, Function Calling, Tool Use",https://example.com/openai-assistants-function-calling
"Enterprise GenAI Stack, Azure OpenAI, Cognitive Search, Azure Functions",https://example.com/enterprise-genai-azure
"Private LLM Hosting, Llama 3, Ollama, LangChain",https://example.com/private-llm-ollama
"LLM Fine-tuning, LoRA (Adapter), Hugging Face PEFT",https://example.com/lora-finetuning-portfolio
"Semantic Search, FAISS (Vector Index), Sentence Transformers",https://example.com/semantic-search-faiss
"Conversational AI, Rasa Pro (NLP), Retrieval Integration",https://example.com/conversational-ai-rasa
"Vector Database, Weaviate, Qdrant, ChromaDB",https://example.com/vector-db-weaviate
"Full-stack GenAI App, Next.js, LangChain, Pinecone",https://example.com/fullstack-genai-nextjs
"Agentic AI Systems, AutoGen, LangGraph, OpenAI Tools",https://example.com/agentic-workflows-autogen
"GenAI Debugging, LangSmith, Weights & Biases",https://example.com/ai-tooling-langsmith
"Data Engineering, Apache Spark, PySpark (ETL)",https://example.com/data-engineering-portfolio
"Cloud Native Dev, Kubernetes, Helm (Deployments)",https://example.com/cloud-native-k8s-portfolio
"MLOps, MLflow, Kubernetes, Docker",https://example.com/mlops-portfolio
"AR/VR Development, Unity, C# (Scripting)",https://example.com/ar-vr-unity-portfolio
"Computer Vision, OpenCV, Python",https://example.com/computer-vision-portfolio
"Quantum Computing, Qiskit, Python",https://example.com/quantum-computing-portfolio
"Edge Computing, WebAssembly (WASM), Rust",https://example.com/edge-wasm-portfolio
"Serverless Stack, AWS Lambda, API Gateway, DynamoDB",https://example.com/serverless-aws-portfolio
"Cybersecurity, SIEM Tools, Splunk, OWASP Practices",https://example.com/cybersecurity-portfolio
"RPA Automation, UiPath, .NET",https://example.com/rpa-portfolio
"Low-code Platform, OutSystems, Azure DevOps",https://example.com/lowcode-portfolio
"No-code Solutions, Bubble.io, Zapier",https://example.com/nocode-portfolio
